                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.8341,                 4.3055,                 4.0646,                0.00061,                0.13641,                  0.001,                0.00038,                 3.9109,                 4.7629,                 3.9142,               0.070297,              0.0033003,              0.0033003
                      1,                 3.4111,                 3.6046,                 3.6559,                0.01812,                0.05242,                0.00775,                0.00219,                 3.5028,                 3.9293,                 3.6319,               0.040166,              0.0065023,              0.0065023
                      2,                 3.0131,                 3.1079,                 3.1521,                0.03102,                0.10602,                0.01717,                0.00485,                 2.9283,                 4.6125,                 3.2674,              0.0099023,              0.0095723,              0.0095723
                      3,                 2.6831,                 2.7952,                 2.7687,                0.06009,                0.08187,                0.02279,                0.00657,                  3.011,                 4.2214,                 3.1962,               0.009406,               0.009406,               0.009406
                      4,                 2.4448,                  2.518,                 2.4755,                0.05741,                0.17593,                0.03819,                0.01136,                 2.7908,                 3.8312,                 2.9802,              0.0093596,              0.0093596,              0.0093596
                      5,                 2.2646,                 2.2857,                 2.2875,                0.14109,                 0.1982,                0.06437,                 0.0186,                 2.6278,                 3.1263,                 2.7837,              0.0092949,              0.0092949,              0.0092949
                      6,                 2.1513,                 2.1145,                 2.1678,                   0.17,                0.25891,                0.11235,                0.03355,                 2.4469,                 3.3126,                 2.6139,              0.0092121,              0.0092121,              0.0092121
                      7,                 2.0459,                 1.9891,                 2.0546,                0.17917,                0.14902,                0.07813,                0.03038,                  2.592,                 3.6149,                 2.7884,              0.0091117,              0.0091117,              0.0091117
                      8,                 1.9751,                 1.8703,                 2.0123,                0.26341,                0.28942,                0.20457,                0.06922,                 2.2748,                 2.5382,                 2.4514,              0.0089939,              0.0089939,              0.0089939
                      9,                 1.9182,                 1.8142,                  1.954,                0.35902,                0.36686,                0.28439,                  0.101,                 2.1515,                 2.1519,                 2.3573,              0.0088592,              0.0088592,              0.0088592
                     10,                  1.853,                 1.6945,                  1.888,                0.30942,                0.35902,                0.27005,                0.09868,                 2.2496,                 2.1551,                 2.3326,              0.0087082,              0.0087082,              0.0087082
                     11,                 1.8139,                 1.6415,                 1.8443,                0.30974,                 0.2996,                0.21479,                0.07434,                   2.22,                 2.3794,                 2.4182,              0.0085415,              0.0085415,              0.0085415
                     12,                 1.7552,                 1.5687,                 1.7926,                0.52709,                0.40824,                 0.4269,                0.17901,                 2.0568,                 1.9276,                 2.1711,              0.0083597,              0.0083597,              0.0083597
                     13,                 1.7331,                 1.4995,                 1.7685,                0.44579,                0.37724,                0.32681,                0.13834,                 2.0643,                 2.1154,                 2.2146,              0.0081635,              0.0081635,              0.0081635
                     14,                 1.7059,                 1.4818,                 1.7281,                0.41719,                0.43249,                0.38496,                0.15149,                 2.0768,                 1.8403,                 2.1966,              0.0079538,              0.0079538,              0.0079538
                     15,                 1.6855,                 1.4272,                 1.7155,                0.40284,                0.45133,                 0.3727,                0.15847,                 2.0202,                 1.8851,                 2.1591,              0.0077313,              0.0077313,              0.0077313
                     16,                 1.6767,                 1.4079,                 1.7063,                0.48361,                0.44611,                0.42488,                0.17569,                 1.9958,                 1.8194,                 2.1393,              0.0074969,              0.0074969,              0.0074969
                     17,                 1.6456,                 1.3822,                 1.6792,                0.48873,                0.40349,                0.38117,                0.15223,                 2.0612,                 1.9744,                 2.1947,              0.0072516,              0.0072516,              0.0072516
                     18,                  1.647,                 1.3877,                 1.6802,                0.41036,                0.46631,                0.36221,                0.14816,                 1.9119,                 1.8531,                  2.059,              0.0069963,              0.0069963,              0.0069963
                     19,                 1.5979,                 1.3251,                 1.6594,                0.53549,                0.43121,                0.42718,                0.18188,                 2.0584,                 1.8567,                  2.161,               0.006732,               0.006732,               0.006732
                     20,                 1.5692,                 1.2914,                 1.6259,                0.49551,                0.54811,                0.49865,                0.21895,                 1.9271,                 1.5888,                 2.0199,              0.0064598,              0.0064598,              0.0064598
                     21,                 1.5519,                 1.2756,                 1.6078,                0.56582,                0.51813,                0.52953,                0.23492,                 1.8541,                 1.4478,                 2.0041,              0.0061807,              0.0061807,              0.0061807
                     22,                 1.5251,                 1.2245,                 1.5944,                0.57346,                0.54737,                 0.5222,                0.22585,                 1.8885,                 1.5176,                 2.0507,              0.0058958,              0.0058958,              0.0058958
                     23,                   1.52,                 1.2124,                 1.5884,                0.47301,                0.54235,                0.47353,                0.21718,                  1.879,                 1.5201,                 2.0246,              0.0056064,              0.0056064,              0.0056064
                     24,                  1.492,                 1.1813,                 1.5584,                0.54414,                0.54369,                0.53456,                0.23169,                 1.8738,                 1.4613,                 2.0155,              0.0053134,              0.0053134,              0.0053134
                     25,                 1.4781,                 1.1603,                  1.548,                0.57447,                0.56219,                0.52645,                0.24226,                 1.8843,                 1.4422,                 2.0226,              0.0050181,              0.0050181,              0.0050181
                     26,                 1.4763,                 1.1582,                 1.5336,                0.57782,                0.54182,                0.54354,                0.24526,                 1.9127,                 1.4573,                 2.0513,              0.0047216,              0.0047216,              0.0047216
                     27,                 1.4756,                 1.1588,                 1.5486,                0.58647,                  0.588,                0.54351,                0.23941,                 1.8292,                 1.4716,                 1.9795,              0.0044251,              0.0044251,              0.0044251
                     28,                 1.4307,                 1.1077,                 1.5172,                0.62829,                0.51949,                0.54707,                0.24849,                 1.8746,                 1.3994,                 2.0175,              0.0041298,              0.0041298,              0.0041298
                     29,                 1.4239,                 1.0943,                 1.5067,                0.48499,                0.56928,                0.50645,                0.22911,                 1.9015,                 1.5016,                 2.0517,              0.0038369,              0.0038369,              0.0038369
                     30,                 1.4089,                 1.0698,                  1.486,                0.59233,                0.56227,                0.56028,                0.26376,                 1.8284,                 1.3603,                 1.9988,              0.0035474,              0.0035474,              0.0035474
                     31,                 1.3998,                 1.0605,                 1.4833,                0.59565,                0.58925,                0.55856,                0.26373,                 1.8541,                 1.3899,                 2.0053,              0.0032626,              0.0032626,              0.0032626
                     32,                 1.3702,                 1.0261,                 1.4625,                0.58918,                0.59466,                   0.54,                 0.2608,                 1.8314,                 1.4145,                 1.9754,              0.0029835,              0.0029835,              0.0029835
                     33,                 1.3681,                 1.0155,                 1.4561,                0.55713,                0.56202,                 0.5545,                0.26434,                 1.7957,                 1.3499,                 1.9591,              0.0027112,              0.0027112,              0.0027112
