                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2055,                  2.976,                 1.9916,                0.14196,                0.27092,                0.09658,                0.02481,                  2.443,                 3.1063,                 2.1733,               0.070297,              0.0033003,              0.0033003
                      1,                 1.8079,                 1.8471,                  1.691,                0.22999,                0.33801,                0.19103,                 0.0543,                 2.4684,                 2.4228,                 2.1115,               0.040166,              0.0065023,              0.0065023
                      2,                 1.7469,                  1.705,                  1.573,                0.33164,                0.37923,                0.27265,                0.09691,                 2.2818,                 2.2893,                 1.8499,              0.0099023,              0.0095723,              0.0095723
                      3,                 1.7391,                 1.6525,                 1.5767,                0.32415,                0.37472,                0.26997,                0.07833,                 2.5362,                 2.6936,                 2.1131,               0.009406,               0.009406,               0.009406
                      4,                  1.699,                 1.5572,                 1.5402,                0.37508,                0.43949,                 0.3257,                0.11257,                 2.2581,                 2.0568,                  1.865,              0.0093596,              0.0093596,              0.0093596
                      5,                 1.6802,                 1.4779,                  1.514,                   0.46,                0.36967,                 0.3271,                0.11182,                 2.2759,                 2.2766,                 1.8834,              0.0092949,              0.0092949,              0.0092949
                      6,                 1.6564,                 1.4317,                 1.4953,                0.45073,                0.47274,                0.39613,                0.14934,                 2.0715,                 1.8566,                  1.785,              0.0092121,              0.0092121,              0.0092121
                      7,                  1.624,                 1.4034,                 1.5011,                0.39735,                0.43931,                0.32818,                0.12723,                 2.1914,                 2.0239,                 1.7994,              0.0091117,              0.0091117,              0.0091117
                      8,                 1.6313,                  1.419,                 1.5118,                0.42744,                0.42061,                0.34793,                0.11762,                 2.3021,                  1.945,                 1.8825,              0.0089939,              0.0089939,              0.0089939
                      9,                  1.598,                 1.3561,                  1.477,                0.57063,                0.43792,                 0.4542,                0.18462,                 2.0076,                 1.6081,                 1.6839,              0.0088592,              0.0088592,              0.0088592
                     10,                  1.581,                 1.2814,                 1.4528,                0.49826,                0.43375,                0.40198,                0.14913,                  2.172,                 1.7216,                 1.8306,              0.0087082,              0.0087082,              0.0087082
                     11,                 1.5576,                 1.2607,                 1.4533,                0.57761,                0.45129,                0.45314,                0.17365,                 2.0954,                 1.6226,                 1.6882,              0.0085415,              0.0085415,              0.0085415
                     12,                 1.5406,                 1.2415,                 1.4256,                0.51098,                0.47544,                0.46651,                 0.1961,                 2.0353,                  1.533,                 1.6852,              0.0083597,              0.0083597,              0.0083597
                     13,                 1.5086,                 1.2197,                 1.4249,                0.46115,                0.54377,                0.46503,                0.19684,                 1.9679,                 1.6384,                 1.6786,              0.0081635,              0.0081635,              0.0081635
                     14,                 1.5069,                 1.1949,                 1.4173,                 0.5604,                0.50222,                0.49592,                0.21094,                 1.9993,                 1.4704,                 1.7103,              0.0079538,              0.0079538,              0.0079538
                     15,                 1.4779,                 1.1724,                 1.4054,                0.51191,                 0.4852,                0.45918,                 0.1717,                 2.2047,                 1.6437,                 1.7659,              0.0077313,              0.0077313,              0.0077313
                     16,                 1.4924,                 1.1642,                 1.4013,                0.47787,                0.54934,                0.42818,                0.16302,                 2.1133,                 1.7355,                 1.7652,              0.0074969,              0.0074969,              0.0074969
                     17,                 1.4596,                 1.1415,                 1.3927,                 0.4582,                0.49407,                0.40948,                0.15848,                 2.1394,                 1.8053,                 1.7973,              0.0072516,              0.0072516,              0.0072516
                     18,                 1.4388,                 1.1159,                 1.3684,                0.51997,                0.52164,                0.43883,                0.19808,                 1.9884,                 1.5176,                 1.7131,              0.0069963,              0.0069963,              0.0069963
                     19,                 1.4302,                 1.0987,                 1.3718,                0.52744,                0.52835,                0.47225,                0.19073,                  2.089,                 1.7404,                 1.7567,               0.006732,               0.006732,               0.006732
                     20,                 1.4227,                 1.0747,                 1.3574,                0.53027,                0.55056,                0.47398,                0.19287,                 1.9618,                 1.5643,                 1.6476,              0.0064598,              0.0064598,              0.0064598
                     21,                 1.4002,                 1.0524,                 1.3516,                0.52185,                0.55911,                0.52521,                0.23691,                 1.8582,                 1.4966,                 1.6183,              0.0061807,              0.0061807,              0.0061807
                     22,                 1.3996,                 1.0443,                 1.3506,                0.58206,                0.50765,                0.48869,                0.22089,                 1.9178,                 1.4092,                 1.6398,              0.0058958,              0.0058958,              0.0058958
                     23,                 1.3991,                 1.0287,                 1.3482,                0.55705,                0.55863,                0.52276,                0.24948,                 1.8806,                 1.3294,                 1.6392,              0.0056064,              0.0056064,              0.0056064
                     24,                 1.3629,                0.99486,                 1.3387,                0.61047,                0.59248,                0.54942,                0.25194,                 1.8634,                 1.3558,                 1.5818,              0.0053134,              0.0053134,              0.0053134
                     25,                 1.3371,                0.96306,                 1.3124,                0.58729,                 0.5711,                 0.5419,                0.24363,                 1.9204,                 1.3881,                 1.6076,              0.0050181,              0.0050181,              0.0050181
                     26,                 1.3408,                0.96271,                 1.3086,                0.57648,                0.59578,                0.54563,                0.25858,                 1.8237,                  1.321,                 1.5176,              0.0047216,              0.0047216,              0.0047216
                     27,                 1.3292,                0.93828,                 1.3049,                0.61577,                0.56389,                0.55773,                0.25144,                 1.9411,                 1.3132,                 1.6257,              0.0044251,              0.0044251,              0.0044251
                     28,                 1.2992,                0.91186,                 1.2824,                0.59227,                0.65079,                0.56582,                0.26429,                 1.8463,                 1.2709,                 1.5963,              0.0041298,              0.0041298,              0.0041298
                     29,                 1.2976,                0.90853,                 1.2888,                0.61318,                0.66586,                0.58828,                0.26915,                 1.8241,                  1.161,                 1.5604,              0.0038369,              0.0038369,              0.0038369
                     30,                 1.2772,                0.87391,                 1.2665,                0.62342,                0.64305,                0.57818,                0.26429,                 1.9196,                  1.228,                 1.6321,              0.0035474,              0.0035474,              0.0035474
                     31,                 1.2844,                0.89167,                 1.2765,                0.60644,                0.59004,                0.54075,                 0.2364,                 1.9455,                 1.3285,                 1.6629,              0.0032626,              0.0032626,              0.0032626
                     32,                 1.2491,                0.86968,                 1.2562,                0.59309,                0.62677,                 0.5679,                0.25416,                 1.8281,                 1.2439,                 1.5899,              0.0029835,              0.0029835,              0.0029835
                     33,                 1.2355,                 0.8397,                 1.2476,                0.60426,                0.63355,                0.54398,                0.23889,                 1.9197,                 1.2479,                 1.6211,              0.0027112,              0.0027112,              0.0027112
                     34,                 1.2168,                0.82609,                 1.2383,                0.59197,                0.62431,                0.55562,                0.26974,                 1.8627,                 1.1592,                 1.5942,               0.002447,               0.002447,               0.002447
                     35,                 1.2205,                0.83222,                 1.2458,                0.59761,                0.59597,                0.54335,                0.27318,                 1.8567,                 1.2604,                 1.5886,              0.0021916,              0.0021916,              0.0021916
                     36,                 1.2082,                0.79683,                 1.2287,                0.61984,                0.61912,                0.57956,                 0.2788,                 1.8238,                 1.2507,                  1.574,              0.0019463,              0.0019463,              0.0019463
                     37,                 1.1982,                0.80627,                 1.2214,                0.63229,                0.65098,                0.57508,                0.28095,                 1.8295,                 1.1932,                 1.5534,              0.0017119,              0.0017119,              0.0017119
                     38,                 1.1852,                0.77822,                 1.2102,                0.64842,                0.63363,                0.58126,                0.28288,                 1.8193,                 1.1654,                 1.5602,              0.0014894,              0.0014894,              0.0014894
                     39,                  1.184,                0.77432,                 1.2123,                0.60439,                0.65905,                0.56279,                0.28011,                 1.8241,                 1.2052,                 1.5473,              0.0012797,              0.0012797,              0.0012797
                     40,                 1.1585,                0.77045,                 1.1993,                 0.6197,                 0.6644,                0.58777,                0.29043,                 1.8302,                  1.223,                 1.5745,              0.0010835,              0.0010835,              0.0010835
                     41,                 1.1422,                0.74292,                 1.1848,                0.62377,                0.65502,                0.58687,                0.29299,                 1.8059,                  1.157,                 1.5736,             0.00090175,             0.00090175,             0.00090175
                     42,                 1.1516,                0.75049,                 1.1962,                0.61806,                0.63936,                0.58364,                0.28636,                 1.8003,                 1.2273,                 1.5786,             0.00073502,             0.00073502,             0.00073502
                     43,                 1.1353,                 0.7399,                 1.1885,                0.63125,                0.64559,                0.57076,                0.28161,                 1.8036,                 1.1605,                 1.6063,             0.00058403,             0.00058403,             0.00058403
                     44,                 1.1276,                0.73159,                 1.1811,                0.63472,                0.64859,                0.57546,                 0.2871,                 1.8256,                 1.1373,                 1.6099,             0.00044937,             0.00044937,             0.00044937
                     45,                 1.1132,                0.72232,                 1.1766,                0.62818,                0.63893,                0.57871,                0.29201,                 1.8163,                 1.1301,                 1.6031,             0.00033157,             0.00033157,             0.00033157
                     46,                 1.1215,                0.71875,                 1.1788,                0.65099,                0.63999,                0.58599,                0.29206,                 1.8231,                 1.1347,                  1.606,             0.00023109,             0.00023109,             0.00023109
                     47,                 1.1171,                 0.7193,                 1.1837,                0.64035,                 0.6464,                 0.5854,                0.29084,                 1.8116,                 1.1268,                 1.6007,             0.00014834,             0.00014834,             0.00014834
                     48,                 1.1126,                0.71213,                  1.174,                0.63889,                0.66036,                0.58783,                0.29129,                 1.8065,                 1.1275,                  1.599,             8.3633e-05,             8.3633e-05,             8.3633e-05
                     49,                 1.1211,                0.71644,                 1.1775,                0.63878,                0.64962,                0.58539,                0.29235,                 1.8072,                  1.133,                 1.6016,             3.7231e-05,             3.7231e-05,             3.7231e-05
