                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2055,                  2.976,                 1.9916,                0.14196,                0.27092,                0.09658,                0.02481,                  2.443,                 3.1063,                 2.1733,               0.070297,              0.0033003,              0.0033003
                      1,                 1.8079,                 1.8471,                  1.691,                0.22999,                0.33801,                0.19103,                 0.0543,                 2.4684,                 2.4228,                 2.1115,               0.040166,              0.0065023,              0.0065023
                      2,                 1.7469,                  1.705,                  1.573,                0.33164,                0.37923,                0.27265,                0.09691,                 2.2818,                 2.2893,                 1.8499,              0.0099023,              0.0095723,              0.0095723
                      3,                 1.7391,                 1.6525,                 1.5767,                0.32415,                0.37472,                0.26997,                0.07833,                 2.5362,                 2.6936,                 2.1131,               0.009406,               0.009406,               0.009406
                      4,                 1.7028,                 1.5647,                 1.5412,                0.20142,                0.23217,                0.09226,                0.02442,                 2.8461,                 5.4516,                 2.3893,               0.009406,               0.009406,               0.009406
                      5,                 1.6787,                 1.4961,                 1.5211,                0.27894,                0.35748,                0.21811,                0.07625,                 2.4955,                 2.9615,                 2.1748,               0.009208,               0.009208,               0.009208
                      6,                 1.6516,                 1.4296,                 1.5058,                0.40956,                0.41114,                0.37411,                0.14778,                 2.0577,                 1.8567,                 1.7408,                0.00901,                0.00901,                0.00901
                      7,                 1.6225,                 1.3981,                  1.497,                0.47709,                 0.4756,                0.38072,                0.14324,                 2.1766,                 2.1807,                 1.8001,               0.008812,               0.008812,               0.008812
                      8,                 1.6361,                 1.4152,                 1.5107,                0.44928,                0.48179,                   0.39,                0.12248,                 2.4604,                 1.8274,                 1.9976,               0.008614,               0.008614,               0.008614
                      9,                 1.5949,                 1.3468,                 1.4647,                0.39076,                0.44348,                0.35775,                 0.1375,                 2.1928,                 1.8373,                  1.823,               0.008416,               0.008416,               0.008416
                     10,                 1.5695,                 1.2827,                 1.4411,                 0.5522,                0.48635,                0.46801,                 0.1983,                 1.9905,                 1.6711,                 1.6873,               0.008218,               0.008218,               0.008218
                     11,                  1.559,                 1.2626,                 1.4479,                0.47657,                0.47596,                0.40047,                0.14566,                 2.2117,                 1.8918,                 1.8034,                0.00802,                0.00802,                0.00802
                     12,                 1.5323,                 1.2352,                 1.4242,                0.49698,                0.50888,                0.45637,                0.18815,                 2.0961,                 1.5735,                 1.7457,               0.007822,               0.007822,               0.007822
                     13,                 1.5034,                 1.2173,                 1.4263,                0.50293,                0.47473,                0.40878,                0.17468,                 2.0265,                 1.7603,                 1.7048,               0.007624,               0.007624,               0.007624
                     14,                 1.5049,                 1.1808,                 1.4037,                0.52423,                0.57599,                0.51907,                 0.2153,                 2.0573,                 1.4906,                 1.6729,               0.007426,               0.007426,               0.007426
                     15,                 1.4749,                 1.1654,                  1.398,                 0.3477,                 0.3974,                0.25873,                0.08415,                 2.4293,                 2.3365,                 1.9469,               0.007228,               0.007228,               0.007228
                     16,                 1.4815,                 1.1691,                  1.397,                0.53594,                0.56701,                0.51593,                0.20477,                 1.9764,                 1.4879,                 1.6558,                0.00703,                0.00703,                0.00703
                     17,                 1.4585,                 1.1307,                 1.3891,                0.58227,                0.55337,                0.54239,                0.23984,                 1.8765,                 1.4481,                 1.5645,               0.006832,               0.006832,               0.006832
                     18,                 1.4358,                 1.0996,                 1.3604,                0.58166,                0.59339,                0.52195,                0.20522,                 2.0857,                 1.4049,                 1.6931,               0.006634,               0.006634,               0.006634
                     19,                 1.4265,                 1.0915,                 1.3618,                0.56652,                0.56669,                0.51151,                0.22334,                 2.0279,                 1.4383,                 1.6557,               0.006436,               0.006436,               0.006436
                     20,                  1.419,                 1.0715,                 1.3537,                0.46827,                0.47117,                0.43087,                 0.1882,                 2.0236,                 1.5243,                 1.6887,               0.006238,               0.006238,               0.006238
                     21,                 1.3994,                 1.0592,                 1.3439,                0.56339,                0.54704,                0.53291,                0.24487,                 1.8679,                 1.4076,                 1.6266,                0.00604,                0.00604,                0.00604
                     22,                 1.3971,                 1.0419,                 1.3491,                0.52665,                0.56055,                0.51597,                0.23985,                 1.8707,                 1.3522,                 1.5872,               0.005842,               0.005842,               0.005842
                     23,                 1.3974,                  1.038,                 1.3412,                0.47683,                0.59067,                0.50154,                0.22427,                 1.9564,                 1.4087,                 1.6335,               0.005644,               0.005644,               0.005644
                     24,                 1.3665,                 1.0199,                 1.3338,                0.52078,                0.55059,                0.50535,                0.22105,                 1.9054,                 1.3715,                 1.5743,               0.005446,               0.005446,               0.005446
                     25,                 1.3407,                 0.9713,                 1.3088,                0.59226,                0.60285,                0.56173,                0.26113,                 1.7709,                 1.3065,                 1.5279,               0.005248,               0.005248,               0.005248
                     26,                 1.3407,                 0.9723,                 1.3001,                 0.6125,                0.57789,                0.55967,                0.27116,                 1.8397,                 1.3008,                 1.5582,                0.00505,                0.00505,                0.00505
                     27,                 1.3413,                0.96362,                 1.3128,                0.56294,                0.63375,                 0.5504,                0.24601,                 1.9637,                 1.2865,                 1.6301,               0.004852,               0.004852,               0.004852
                     28,                 1.3285,                0.93853,                 1.2975,                0.57366,                0.64835,                0.58222,                 0.2729,                 1.8245,                 1.2252,                 1.5829,               0.004654,               0.004654,               0.004654
                     29,                 1.3125,                0.92408,                 1.2922,                0.60875,                0.60676,                0.57034,                0.25785,                 1.8558,                 1.2072,                 1.5549,               0.004456,               0.004456,               0.004456
                     30,                 1.2948,                0.90506,                 1.2785,                0.57549,                0.56648,                0.53717,                0.24846,                 1.8961,                  1.323,                 1.6272,               0.004258,               0.004258,               0.004258
                     31,                 1.2888,                0.91767,                 1.2809,                  0.578,                0.63498,                0.56308,                0.25803,                 1.8359,                 1.2282,                 1.6153,                0.00406,                0.00406,                0.00406
                     32,                 1.2739,                0.89798,                 1.2745,                0.64567,                0.63076,                0.58166,                0.27916,                 1.7916,                 1.1629,                 1.5624,               0.003862,               0.003862,               0.003862
                     33,                 1.2606,                0.86984,                 1.2641,                0.60018,                0.60218,                0.56382,                0.26273,                 1.8018,                 1.2353,                 1.5413,               0.003664,               0.003664,               0.003664
                     34,                 1.2411,                0.85065,                 1.2573,                0.62541,                0.53694,                0.53393,                0.24009,                 1.9418,                 1.3467,                 1.6354,               0.003466,               0.003466,               0.003466
                     35,                  1.261,                0.86801,                 1.2689,                0.59336,                0.60965,                0.55572,                0.27357,                 1.7949,                  1.241,                 1.5486,               0.003268,               0.003268,               0.003268
                     36,                 1.2483,                0.82965,                 1.2493,                0.54106,                0.61854,                0.56053,                0.26357,                 1.8443,                 1.2446,                 1.5562,                0.00307,                0.00307,                0.00307
                     37,                 1.2391,                0.83861,                 1.2447,                0.61112,                0.56144,                0.55646,                0.26617,                 1.8409,                 1.2161,                 1.5595,               0.002872,               0.002872,               0.002872
                     38,                 1.2136,                0.82489,                 1.2299,                0.57327,                 0.6349,                0.56552,                0.26343,                 1.8851,                 1.2215,                 1.5827,               0.002674,               0.002674,               0.002674
                     39,                 1.2135,                0.81649,                 1.2321,                 0.5955,                0.56969,                0.55769,                0.26709,                 1.9074,                 1.2886,                 1.6055,               0.002476,               0.002476,               0.002476
                     40,                 1.1937,                0.79487,                 1.2192,                0.62929,                0.58925,                0.57131,                0.28427,                 1.8277,                 1.1875,                 1.5813,               0.002278,               0.002278,               0.002278
                     41,                 1.1798,                0.77579,                 1.2024,                0.58071,                0.60273,                0.54656,                0.27188,                 1.8194,                 1.2627,                 1.5569,                0.00208,                0.00208,                0.00208
                     42,                 1.1794,                0.77207,                 1.2133,                 0.6219,                0.58183,                0.54376,                0.24597,                 1.9153,                 1.2088,                 1.6361,               0.001882,               0.001882,               0.001882
                     43,                 1.1749,                0.76587,                 1.2063,                0.62888,                0.58176,                0.56876,                0.24884,                 1.9137,                 1.2144,                 1.6291,               0.001684,               0.001684,               0.001684
                     44,                 1.1488,                0.74448,                 1.1907,                0.60371,                0.59462,                0.55645,                0.27714,                 1.8504,                 1.1771,                 1.5932,               0.001486,               0.001486,               0.001486
                     45,                 1.1342,                0.73435,                 1.1858,                0.60215,                0.64257,                0.58433,                 0.2866,                 1.8229,                 1.1531,                 1.5532,               0.001288,               0.001288,               0.001288
                     46,                 1.1302,                0.73153,                 1.1822,                0.65236,                0.63761,                0.58521,                0.28559,                 1.8486,                 1.1087,                 1.5992,                0.00109,                0.00109,                0.00109
                     47,                 1.1217,                0.72299,                 1.1836,                0.66662,                0.62293,                0.57821,                0.28427,                 1.8555,                   1.11,                 1.6239,               0.000892,               0.000892,               0.000892
                     48,                 1.1181,                0.70995,                 1.1727,                0.64277,                0.63222,                0.56863,                0.27235,                 1.8428,                 1.1588,                 1.5867,               0.000694,               0.000694,               0.000694
                     49,                 1.1123,                0.70835,                 1.1661,                0.67601,                0.62337,                0.58308,                0.28686,                 1.8154,                 1.1394,                  1.567,               0.000496,               0.000496,               0.000496
