                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8516,                 2.6626,                 1.5955,                0.27299,                0.28937,                0.22382,                0.08827,                 1.9464,                 2.3891,                 1.8525,               0.070297,              0.0033003,              0.0033003
                      1,                 1.5693,                 1.4986,                 1.3751,                0.40436,                0.27911,                0.19945,                0.07253,                 2.2934,                 2.8583,                 1.9836,               0.040166,              0.0065023,              0.0065023
                      2,                 1.5683,                 1.4148,                 1.3558,                0.20563,                0.33492,                0.16182,                0.06242,                  2.273,                 2.4455,                 1.7742,              0.0099023,              0.0095723,              0.0095723
                      3,                 1.5849,                 1.3556,                  1.368,                0.22842,                0.23217,                0.13953,                0.05141,                 2.3418,                 3.6359,                  2.162,               0.009406,               0.009406,               0.009406
                      4,                 1.5878,                 1.3133,                 1.3511,                0.39071,                0.40982,                0.32997,                0.13139,                 2.1364,                 2.1685,                 1.7578,               0.009406,               0.009406,               0.009406
                      5,                 1.5676,                 1.2433,                 1.3354,                 0.4055,                0.45291,                0.34454,                0.13977,                 1.9803,                 1.8858,                 1.7042,               0.009208,               0.009208,               0.009208
                      6,                 1.5423,                  1.213,                 1.3284,                0.36356,                0.42858,                0.32862,                 0.1434,                 2.0366,                 1.8731,                 1.7605,                0.00901,                0.00901,                0.00901
                      7,                 1.5143,                 1.1998,                 1.3127,                0.45571,                0.50112,                0.40726,                0.18428,                  1.841,                 1.6724,                 1.5966,               0.008812,               0.008812,               0.008812
                      8,                 1.4927,                 1.1613,                 1.3011,                0.49886,                0.45388,                0.46011,                0.20422,                 1.8635,                 1.5522,                 1.5571,               0.008614,               0.008614,               0.008614
                      9,                 1.4801,                 1.1272,                 1.3048,                0.26095,                0.27096,                0.15705,                0.05699,                 2.2517,                 3.2119,                 2.0035,               0.008416,               0.008416,               0.008416
